,id,name,current_price,tag,tag_updated_at
89,7330,Frijoles colorados (680 g / 1.5 lb),4.66,frijoles,2024-12-21 20:08:33
90,19796, Frijoles negros (1 kg / 2.2 lb) ,4.59,frijoles,2024-12-21 20:08:33
91,20621,Frijoles colorados (1 kg / 2.2 lb),4.52,frijoles,2024-12-21 20:08:33
92,7355, Frijoles mantequilla (907 g / 2 lb) ,4.41,frijoles,2024-12-21 20:08:33
93,24623,Frijoles bayos 1 lb,4.38,frijoles,2024-12-21 20:08:33
94,24625,Frijoles colorados 1 lb,4.38,frijoles,2024-12-21 20:08:33
95,24626,Frijoles Negros 1 lb,4.38,frijoles,2024-12-21 20:08:33
96,74414,Frijoles mantequilla Criollo (1 kg / 2.2 lb),4.32,frijoles,2024-12-21 20:08:33
97,7252, Frijoles negros (1 kg / 2.2 lb) ,4.26,frijoles,2024-12-21 20:08:33
98,7256, Frijol pinto El Fresno (1 kg / 2.2 lb) ,4.19,frijoles,2024-12-21 20:08:33
99,18562, Frijol bayo El Fresno (1 kg / 2.2 lb) ,4.19,frijoles,2024-12-21 20:08:33
100,16942, Frijoles blancos -alubias blancas- La Cata (500 g / 1.1 lb) ,3.92,frijoles,2024-12-21 20:08:33
101,7187, Frijoles negros Don Jos̩ (1 kg / 2.2 lb) ,3.86,frijoles,2024-12-21 20:08:33
102,7349, Frijoles blancos (453.5 g / 1 lb) ,3.82,frijoles,2024-12-21 20:08:33
103,25390,Frijoles negros (1lb),3.75,frijoles,2024-12-21 20:08:33
104,7285, Frijoles bayos (453.5 g / 1 lb) ,3.73,frijoles,2024-12-21 20:08:33
105,7293, Frijoles colorados (454 g / 1 lb) ,3.71,frijoles,2024-12-21 20:08:33
106,21017,Frijoles negros Yeya (1 kg / 2.2 lb),3.64,frijoles,2024-12-21 20:08:33
107,7254, Frijoles colorados (453.5 g / 1 lb) ,3.63,frijoles,2024-12-21 20:08:33
108,7346,Frijol negro limpio (1 kg / 2.2 lb),3.61,frijoles,2024-12-21 20:08:33
109,16465, Frijol negro Verde Valle (1 kg / 2.2 lb) ,3.49,frijoles,2024-12-21 20:08:33
110,7390,Frijol negro San Diego (1 kg / 2.2 lb),3.48,frijoles,2024-12-21 20:08:33
111,20798, Frijoles negros (1 kg / 2.2 lb) ,3.48,frijoles,2024-12-21 20:08:33
112,7249, Frijoles negros (454 g / 1 lb) ,3.42,frijoles,2024-12-21 20:08:33
113,7284, Frijol colorado (454 g / 1 lb) ,3.42,frijoles,2024-12-21 20:08:33
